climate_id,month,delta_q_2055,delta_p_2055
1,1,-0.3349346655,2.6694344165999997
1,2,-0.47140143525000006,-1.0
1,3,-0.04558011075,2.741007194
1,4,-0.5695488719999999,-1.0
1,5,-0.5411832944999999,-0.732441472
1,6,0.38314447575,0.320132013
1,7,-0.5147981182499999,1.253521127
1,8,-0.31678700325,1.391536446
1,9,-0.36856325474999996,0.294684011
1,10,-0.4086059745,0.621845263
1,11,-0.52485928725,0.396212403
1,12,-0.54190751475,0.7913486009999999
2,1,-0.2888162955,2.2651022863
2,2,-0.24345715499999998,1.267716535
2,3,-0.21132596700000003,-0.42446043200000005
2,4,-0.7048872180000001,-0.144385027
2,5,0.15487239,0.33779264200000003
2,6,-0.29674221,0.056105611
2,7,-0.6088788712500001,0.609657948
2,8,-0.67779783375,1.9505969140000001
2,9,-0.75,0.016081123
2,10,-0.522403983,0.7542407940000001
2,11,0.15056285175,0.18826587399999997
2,12,-0.19508670525,0.13994910900000002
3,1,-0.3349346655,0.7825511434999999
3,2,0.060468552,1.7716535430000002
3,3,0.203038674,-0.136690647
3,4,-0.29887218075,-0.572192513
3,5,-0.332366589,2.47826087
3,6,0.49645892325,0.716171617
3,7,-0.46775774175,1.897384306
3,8,-0.027978339,1.422595361
3,9,0.24173553750000001,-0.229744955
3,10,-0.35170697025000003,0.35705419899999996
3,11,0.30065666025000004,0.425919049
3,12,-0.160404624,-0.9185750640000001
4,1,-0.42717140625,1.1868832730999999
4,2,-0.24345715499999998,1.7716535430000002
4,3,-0.1284530385,0.151079137
4,4,-0.5695488719999999,-0.7860962570000001
4,5,0.642111369,0.605351171
4,6,1.7429178472500002,0.320132013
4,7,-0.27959623650000004,1.253521127
4,8,-0.31678700325,0.459768999
4,9,-0.21598855725,-0.37724060200000004
4,10,-0.57930298725,0.191559785
4,11,0.30065666025000004,0.366505756
4,12,-0.09104046225000001,-0.267175573
5,1,-0.3349346655,1.1868832730999999
5,2,-0.24345715499999998,1.7716535430000002
5,3,-0.1284530385,-0.136690647
5,4,-0.75,-0.572192513
5,5,0.5725058002500001,0.33779264200000003
5,6,1.402974504,0.188118812
5,7,-0.5147981182499999,0.609657948
5,8,-0.75,0.5218868289999999
5,9,-0.292275906,-0.29529857600000003
5,10,-0.522403983,0.489449731
5,11,0.225609756,0.18826587399999997
5,12,-0.160404624,-0.10432570000000001
6,1,-0.3118754805,1.5912154033999997
6,2,-0.11682144375,0.511811024
6,3,-0.16988950274999998,0.438848921
6,4,-0.5695488719999999,-0.35828877
