climate_id,delta_p_2055_annual,delta_q_2055_annual
1,0.4230256433428148,-0.30389144613817975
2,0.4434233851853997,-0.3011368040376543
3,0.6092744411486044,-0.022046748900329538
4,0.3116299127134252,-0.029050583744821945
5,0.2543271686416255,-0.10303711122601555
6,0.40991075058899784,-0.3001128675757244
7,0.32790033998433477,-0.1373545065239966
8,0.35921941536683244,-0.3520608381041723
9,0.35333081403724775,-0.33897218458805367
10,0.6575441246732243,-0.3376209119001997
11,0.53014643613296,-0.35071456505608145
12,0.3159154718184063,-0.35947981759159664
13,0.6790754829043915,-0.27887266740549244
14,0.5452017234874624,-0.3850100416605854
15,0.6120340091714755,-0.2573095589417058
16,0.44719484965024847,-0.1416324125985885
17,0.3081422608146358,-0.39710980264371476
18,0.5906589358843142,-0.21616676567455562
19,0.6639894325337865,-0.16885530450605524
